6571,CrossFit Civitas,Unit 32 Hampton Park West,Melksham,Wiltshire,SN12 6LH,United Kingdom,FALSE,07770 887 378,http://crossfitcivitas.com/,51.3556,-2.1434
6576,CrossFit TAC,Studio 1+2 Osney Mead House,Osney Mead,Oxford,OX2 0EA,United Kingdom,FALSE,7984419831,http://www.oxoniacrossfit.com/,51.7462,-1.273
6664,CrossFit SE11,103 Tinworth Street,London,Greater London,SE11 5EQ,United Kingdom,FALSE,7730921514,False,51.4898,-0.1224
6762,CrossFit Darlington,Neasham Road,Darlington,County Durham,DL2 1DL,United Kingdom,TRUE,07743 123123,http://www.crossfitdl21dl.com/,54.4974,-1.5203
7146,CRG CrossFit,72 Newhaven Road,Edinburgh,Lothian and Borders,EH6 5QG,United Kingdom,FALSE,0800 028 9320,http://www.crgcrossfit.com/,55.9713,-3.1874
7228,CrossFit MCI,11 Balloo Drive,Bangor,Northern Ireland,BT19 7QY,United Kingdom,TRUE,7540723857,http://www.crossfitmci.co.uk/,54.6429,-5.6662
7261,CrossFit Kings Lynn,Hamburg Way,Kings Lynn,Norfolk,PE30 2ND,United Kingdom,FALSE,07919 015542,False,52.7698,0.4187
7492,CrossFit Wirral,Unit 86 Argyle Industrial Estate,Birkenhead Wirral,Meyerside,CH41 9HH,United Kingdom,FALSE,(0044)7715149483,http://crossfitwirral.co.uk/,53.3854,-3.0212
7769,CrossFit Wolverhampton,Unit 7 wednesfield business park. Waddens Brook Lane,Wolverhampton,West Midlands,Wv113sf,United Kingdom,FALSE,7969981888,False,52.5982,-2.0687
7835,CrossFit Basingstoke,7 & 8 Joule Road,Basingstoke,Hampshire,RG21 6XH,United Kingdom,FALSE,7849125832,http://www.crossfitbasingstoke.co.uk/,51.2736,-1.1012
7854,CrossFit Portsea Island,235-237 Commercial Road,Portsmouth,Hampshire,PO1 4BJ,United Kingdom,TRUE,448000000000,http://www.theboxportsmouth.com/,50.8032,-1.0877
7928,CrossFit KSH,Unit 7 Lawrenson St,St Helens,Merseyside,WA10 2PL,United Kingdom,TRUE,44 01744 818480,http://www.crossfitksh.com/,53.451,-2.7501
7938,Core Performance CrossFit,4-6 Sergeants Way,Bedford,Bedfordshire,MK41 0EH,United Kingdom,FALSE,07876 427595,http://www.coreperformance.co.uk/,52.1458,-0.4188
7980,CrossFit Bull,Unit 5 Foley Trading Estate,Hereford,Herefordshire,,United Kingdom,TRUE,448000000000,http://crossfitbull.co.uk,52.0523,-2.6998
7987,CrossFit Hull,Unit 15d Bergen Way,Hull,East Yorkshire,HU7 0YQ,United Kingdom,FALSE,7515355239,http://crossfithull.co.uk/,53.7789,-0.3467
8247,CrossFit Lisburn,13 Ballinderry Rd,Lisburn,Co. Down,BT282SA,United Kingdom,FALSE,07835 546316,False,54.5113,-6.0706
8321,CrossFit WestMids,Sheriff Street,Worcester,Worcestershire,,United Kingdom,FALSE,7554008155,False,52.1954,-2.2072
8473,CrossFit Downpatrick,104 Bridge Street,Downpatrick,Down,BT306HD,United Kingdom,FALSE,7713886034,http://www.crossfitdownpatrick.com/,54.3332,-5.7163
8910,CrossFit Blackfriars,50 Belvedere Buildings,London,London,SE1 0DQ,United Kingdom,FALSE,448000000000,http://crossfitblackfriars.com,51.5004,-0.1001
8916,CrossFit Scunthorpe,24 Northampton Road,Scunthorpe,North Lincolnshire,DN16 1UJ,United Kingdom,FALSE,7712226304,http://development.skyline-internet.com/cfs/index.php,53.5827,-0.6362
9047,FFD CrossFit,48 Brown Street,Dundee,Angus,DD1 5DT,United Kingdom,FALSE,7545168032,False,56.4617,-2.98
9068,CrossFit 3 Troop,6 Dundas Street,Grangemouth,Scotland,FK3 8BX,United Kingdom,FALSE,7984057034,http://crossfit3troop.squarespace.com/,56.0171,-3.726
9078,CrossFit Castrum,22 Duncrue Road,Belfast,County Antrim,BT3 9BP,United Kingdom,FALSE,7745540397,http://www.crossfitcastrum.com/,54.6259,-5.9149
9090,CrossFit PENDLE,Kenyon Road,Nelson,Lancashire,BB9 5SP,United Kingdom,FALSE,7805764086,http://www.crossfitpendle.com/,53.8322,-2.2343
9108,Atlantic Way CrossFit,Unit 15B Atlantic Trading Estate,Barry,South Glamorgan,CF633RF,United Kingdom,FALSE,7855353051,http://www.atlanticwaycrossfit.com,51.3989,-3.2473
9122,CrossFit Newquay,29 Treloggan Trade Park,Newquay,Cornwall,TR7 2QL,United Kingdom,FALSE,7415652477,False,50.4051,-5.062
9247,CrossFit Corinthian,Unit 2. Newhaven Workshops. Beach Close.,Newhaven,East Sussex,BN9 0BY,United Kingdom,TRUE,7505819886,http://www.crossfit-corinthian.co.uk/,50.79,0.0569
